New log file - 2025-05-26 02:56:48
================================ Calibration ================================
Calibration data filenames: ['P4_S11/anonymized/auditoryAphasia_6D_350_Block1_Run1.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block1_Run2.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block1_Run3.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block1_Run4.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block1_Run5.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block1_Run6.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block2_Run1.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block2_Run2.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block2_Run3.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block2_Run4.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block2_Run5.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block2_Run6.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block3_Run1.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block3_Run2.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block3_Run3.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block3_Run4.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block3_Run5.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block3_Run6.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block4_Run1.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block4_Run2.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block4_Run3.vhdr', 'P4_S11/anonymized/auditoryAphasia_6D_350_Block4_Run4.vhdr']
------------------------- Preprocessing configurations -------------------------
filter_band: (0.5, 16)
non_eeg_channels: ['EOGvu', 'x_EMGl', 'x_GSR', 'x_Respi', 'x_Pulse', 'x_Optic']
decimate: 10
montage: standard_1020
filter_method: iir
only_eeg: True
tmin: -0.2
tmax: 1
baseline: None
channels_to_discard: ['AF7', 'AF3', 'AF4', 'AF8', 'F5', 'F1', 'F2', 'F6', 'FT7', 'FC3', 'FCz', 'FC4', 'FT8', 'C5', 'C1', 'C2', 'C6', 'TP7', 'CP3', 'CPz', 'CP4', 'TP8', 'P5', 'P1', 'P2', 'P6', 'PO7', 'PO5', 'POz', 'PO6', 'PO8', 'Oz']
channels: ['Fp1', 'Fp2', 'F3', 'F4', 'C3', 'C4', 'P3', 'P4', 'O1', 'O2', 'F7', 'F8', 'T7', 'T8', 'P7', 'P8', 'Fz', 'Cz', 'Pz', 'FC1', 'FC2', 'CP1', 'CP2', 'FC5', 'FC6', 'CP5', 'CP6', 'F9', 'F10', 'P9', 'P10']
fs: 100.0
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
X.shape (epochs, features): (9390, 124)
y.shape (epochs,): (9390,)
----------------------------------------------------------------------
n_calibration_trials: 132
n_calibration_epochs: 9390
with the per-run iteration structure:
[[10  8  8 10  9  8]
 [ 8  8  8  8 15 10]
 [ 8  8  8 10  9 15]
 [11 12 15  8  9 12]
 [ 8  8  8  8 15 15]
 [15  8 15 15  8 15]
 [14 15  8 15  8 15]
 [10 15 10 15 15 15]
 [15 11 10 15 15 15]
 [ 9 15 15  8 15 15]
 [15  8 15  8  8  8]
 [15  8 15 10 15  9]
 [15  8 15  8 15 14]
 [15 13 15 15 10 15]
 [14 12 12 14  8 15]
 [ 8 15 15 13 14 15]
 [15 15  9  8  8 12]
 [ 8 14 14 15  9  9]
 [15 15 15 15 15 10]
 [15 15  8 14  9 12]
 [15 15  9 13  8 10]
 [ 9 15 12  8  9 15]]
Trained all three classifiers on the calibration data.
================================ Online ================================
Online data filenames: ['P4_S12/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block2_Run1.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block2_Run2.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block2_Run3.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block2_Run4.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block2_Run5.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block2_Run6.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block3_Run1.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block3_Run2.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block3_Run3.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block3_Run4.vhdr', 'P4_S12/anonymized/auditoryAphasia_HP_500_Block3_Run5.vhdr']
Same preprocessing configurations as for the calibration data
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
----------------------------------------------------------------------
n_online_trials: 102
n_online_epochs 8700
with the per-run iteration structure:
[[15 15 15 15 10 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 12 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15  8 15 15 15]
 [ 8 15 15 15 15 15]
 [15 15 15 10 15  8]
 [15 15 15 15 15 15]
 [15  8 15 15 15 15]
 [15  8 11 15 15 15]
 [15 15  8  8  8  8]
 [15 15 15 15 15 15]]
Online simulation starts
Number of online trials: 102, which is 17.0 runs
------------------ Run 1 Trial 1  (total trials: 1/102) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
0 	| [116] 	| 0.265266870470827 	| -0.4505017346726312 	| -0.46830620591351024
1 	| [103] 	| -2.5274415817363534 	| -1.377400950176306 	| -1.8272396391920473
2 	| [102] 	| -3.7158692988234634 	| -3.4929364966161094 	| -3.927206566766079
3 	| [105] 	| 0.16310246783748683 	| -1.1197888403904281 	| -1.1513447112407427
4 	| [101] 	| -2.491658804078634 	| -2.184652310934914 	| -1.9466734590195773
5 	| [104] 	| -2.629600998213422 	| -2.7723329747855234 	| -3.5039528142066616
6 	| [116] 	| 1.0051645620165677 	| 0.36559002264904494 	| -0.13220919372946366
7 	| [105] 	| -4.452278389844098 	| -3.946391124617783 	| -4.287460583673887
8 	| [103] 	| -3.291960380974534 	| -2.099970709299399 	| -2.6831772688008755
9 	| [102] 	| -2.4890252989198176 	| -2.357358181648186 	| -2.623888557659299
10 	| [104] 	| -1.9237462849203757 	| -1.842131947487394 	| -1.7426753421562138
11 	| [101] 	| -3.8289494268955626 	| -3.5371711977203937 	| -4.139105287511279
12 	| [103] 	| -2.243091013750441 	| -2.5306613245995493 	| -2.6050242703479833
13 	| [105] 	| -4.808582809184562 	| -4.2678532935212585 	| -4.270033583298826
14 	| [102] 	| -1.0590854097297355 	| -0.9367603693849986 	| -1.1964728323105362
15 	| [101] 	| -4.991720609236461 	| -4.021716259022514 	| -4.002553938984574
16 	| [116] 	| -1.5969689520617074 	| -2.396008131435947 	| -2.73421341155435
17 	| [104] 	| -1.940441040695576 	| -0.8222642024731512 	| -0.6893606338342466
18 	| [105] 	| -6.295412990267327 	| -6.160943885505866 	| -6.512092022053709
19 	| [102] 	| -2.1055759631653403 	| -2.2535836682404513 	| -1.9763523175479165
20 	| [116] 	| -2.346872924666343 	| -2.066371016353991 	| -2.292452768593391
21 	| [101] 	| -3.5916104413768117 	| -3.36595723780546 	| -3.7228306171147194
22 	| [104] 	| -0.7512565416947465 	| -1.3208329578835363 	| -0.7671622319380671
23 	| [103] 	| -3.1058226070970587 	| -2.6246958104501132 	| -2.3069387159426586
24 	| [102] 	| -5.829303315397334 	| -5.143132522424976 	| -5.920690164907084
25 	| [101] 	| -0.6551832065058609 	| -1.0601971402486465 	| -0.7202519353455004
26 	| [116] 	| -4.276086726388893 	| -3.9174288689325047 	| -3.822716533680179
27 	| [104] 	| -3.3249324387285717 	| -3.3707938782985236 	| -2.9806066149905965
28 	| [103] 	| -1.2463877306652693 	| -1.2785566058236577 	| -0.8422935567879948
29 	| [105] 	| -4.686439861160809 	| -4.5137150293008155 	| -5.045099085030518
30 	| [102] 	| -4.374179019763398 	| -3.792074378342117 	| -3.7291359250585856
31 	| [101] 	| -3.396215402489553 	| -3.0528789143516017 	| -2.443685924623464
32 	| [104] 	| -2.789366514229109 	| -2.254190034131903 	| -1.8366127435956638
33 	| [103] 	| -5.13222024686306 	| -4.188361800630505 	| -4.1372043925155
34 	| [116] 	| -2.0974426123611787 	| -1.6590080272293946 	| -2.004966062154038
35 	| [105] 	| -2.2551549871038605 	| -2.5266991855087535 	| -2.807224519564615
36 	| [104] 	| -0.5993848631733578 	| -1.1934643611532114 	| -1.072291297923476
37 	| [102] 	| -5.31982558052634 	| -4.051346426382844 	| -4.124577607612186
38 	| [101] 	| -6.925653037658336 	| -5.968279367783637 	| -6.6423364742326
39 	| [105] 	| -4.732643324891096 	| -3.907537514416898 	| -3.6357519334412665
40 	| [116] 	| -2.5688142427004212 	| -2.416166176004083 	| -1.9044299987948108
41 	| [103] 	| 1.1035614065191832 	| 0.6896148542519365 	| 0.4862653436794655
42 	| [104] 	| -2.264624951315532 	| -2.511558495932352 	| -2.392934847811827
43 	| [102] 	| -3.759026155227706 	| -4.264205243776114 	| -4.485672768843615
44 	| [101] 	| 0.09530043477125805 	| -1.3398839206829565 	| -1.7229778397451954
45 	| [116] 	| -4.416498512668625 	| -4.166090390715515 	| -3.824975490623064
46 	| [103] 	| -0.6967247970417172 	| -0.8865777662081165 	| -1.1866692822943645
47 	| [105] 	| -1.3556267175083836 	| -1.9626026842653668 	| -2.4105829627111888
48 	| [102] 	| 1.4393252809330952 	| 0.44751838490567364 	| 1.1964229061028453
49 	| [116] 	| -1.5414196187092797 	| -1.714729450590817 	| -2.559106063107078
50 	| [104] 	| -2.386296780289281 	| -2.2090960976902148 	| -2.6613601896605257
51 	| [101] 	| -1.938106011104474 	| -1.803942651242969 	| -1.5369408004115432
52 	| [103] 	| -4.159700984443353 	| -3.4009493856623556 	| -3.720586100031668
53 	| [105] 	| -4.9984585507309465 	| -3.892561919386952 	| -3.967341104809007
54 	| [102] 	| -0.9132913088602814 	| -0.8828546780783375 	| -0.9050161336279751
55 	| [101] 	| -2.722929679146132 	| -3.1866871443206586 	| -3.7195336430769186
56 	| [116] 	| -1.2568853643793807 	| -0.9356426516474075 	| -0.8305100139320678
57 	| [104] 	| -2.394718437131462 	| -2.2575916606536803 	| -1.657514915850316
58 	| [103] 	| -1.7296626958743921 	| -2.3903992456765755 	| -1.8080934403631468
59 	| [105] 	| 1.3488828652978886 	| 0.0639155659676156 	| 0.5434681735541076
60 	| [102] 	| -4.855873614256264 	| -4.50147900770415 	| -3.9862883322241687
61 	| [101] 	| -1.490065134226291 	| -1.1255989295362083 	| -1.7104732090564023
62 	| [116] 	| -2.337984359609762 	| -2.6165983386658933 	| -2.9020947928889296
63 	| [105] 	| -2.7797493954583623 	| -3.0422299213676265 	| -2.594193428811243
64 	| [104] 	| -4.875293396965529 	| -3.8755781326937235 	| -4.082840854755842
65 	| [103] 	| -2.4883065257716335 	| -3.1763215873056194 	| -3.454355912672197
66 	| [101] 	| -3.696308362007668 	| -3.837366731071903 	| -3.3257525624884163
67 	| [102] 	| -3.8117139125985915 	| -3.499349002735582 	| -3.6292697422892606
68 	| [104] 	| -4.470567440297515 	| -3.983232811592158 	| -4.4784440237177385
69 	| [116] 	| -3.418019445029806 	| -3.0017805637042265 	| -2.9050189307498773
