New log file - 2025-05-26 03:11:25
================================ Calibration ================================
Calibration data filenames: ['P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run3.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run4.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run5.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run6.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block4_Run1.vhdr']
------------------------- Preprocessing configurations -------------------------
filter_band: (0.5, 16)
non_eeg_channels: ['EOGvu', 'x_EMGl', 'x_GSR', 'x_Respi', 'x_Pulse', 'x_Optic']
decimate: 10
montage: standard_1020
filter_method: iir
only_eeg: True
tmin: -0.2
tmax: 1
baseline: None
channels_to_discard: ['AF7', 'AF3', 'AF4', 'AF8', 'F5', 'F1', 'F2', 'F6', 'FT7', 'FC3', 'FCz', 'FC4', 'FT8', 'C5', 'C1', 'C2', 'C6', 'TP7', 'CP3', 'CPz', 'CP4', 'TP8', 'P5', 'P1', 'P2', 'P6', 'PO7', 'PO5', 'POz', 'PO6', 'PO8', 'Oz']
channels: ['Fp1', 'Fp2', 'F3', 'F4', 'C3', 'C4', 'P3', 'P4', 'O1', 'O2', 'F7', 'F8', 'T7', 'T8', 'P7', 'P8', 'Fz', 'Cz', 'Pz', 'FC1', 'FC2', 'CP1', 'CP2', 'FC5', 'FC6', 'CP5', 'CP6', 'F9', 'F10', 'P9', 'P10']
fs: 100.0
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
X.shape (epochs, features): (9816, 124)
y.shape (epochs,): (9816,)
----------------------------------------------------------------------
n_calibration_trials: 114
n_calibration_epochs: 9816
with the per-run iteration structure:
[[15 15 15 15 15 15]
 [15  8  8 15 15 15]
 [11 15 15 15 15 15]
 [15 15 15 15 15 15]
 [13 15 15 15 15 15]
 [15 15 15 15 15 14]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15  8]
 [12 13  8 15 15 15]
 [15  8 15 15 15 15]
 [15  8 15 15 15 15]
 [15  8 15 15 15 15]
 [15 15 15 12 12 15]
 [15 15 15 15 15  9]
 [15 15 15 15 15 15]
 [14 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]]
Trained all three classifiers on the calibration data.
================================ Online ================================
Online data filenames: ['P4_S15/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block3_Run3.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block3_Run4.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block3_Run5.vhdr', 'P4_S15/anonymized/auditoryAphasia_HP_350_Block3_Run6.vhdr']
Same preprocessing configurations as for the calibration data
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
----------------------------------------------------------------------
n_online_trials: 108
n_online_epochs 9018
with the per-run iteration structure:
[[15 15 15  9 15  8]
 [13 15 15  8 15 12]
 [15 15 15 15 15 15]
 [15 15 14 15 15 15]
 [15 15 10 15  8 15]
 [ 8 15  8 15 15 15]
 [10 15  8 15 15 15]
 [15 10 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15  8]
 [15 15 15 12 15 15]
 [15  8 15  8 14 15]
 [ 9 15 15 15 15 15]
 [15 14 15 15 15 15]
 [ 8 15 15  9 15 15]
 [15 15 15 15 15 15]
 [15 12 15 15 15 15]
 [15 15 15 15 15 15]]
Online simulation starts
Number of online trials: 108, which is 18.0 runs
------------------ Run 1 Trial 1  (total trials: 1/108) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
0 	| [114] 	| 0.19598980818846057 	| -0.22313957510831917 	| -0.09469570862466825
1 	| [105] 	| -2.814422552728246 	| -2.634353882465337 	| -2.813868810147085
2 	| [103] 	| -1.620901025852909 	| -1.4492023642809224 	| -1.289284596002825
3 	| [101] 	| -2.0284231164189674 	| -2.023035935007862 	| -2.082958220872342
4 	| [102] 	| -1.7729753756375164 	| -1.6425457899377165 	| -1.6502002726912923
5 	| [106] 	| -2.2413974228389026 	| -1.8555607094671969 	| -1.7924922955085458
6 	| [105] 	| -2.284972196099285 	| -2.4165138128422035 	| -2.5068102919719517
7 	| [114] 	| -0.23879088883307298 	| -0.3878015620675721 	| -0.12574737359411847
8 	| [102] 	| -2.2785147182890206 	| -2.1292216515057354 	| -2.2871050980167924
9 	| [103] 	| -2.3784282159795063 	| -2.3422601919713664 	| -2.3228477105899916
10 	| [101] 	| -2.360483300567919 	| -2.086343838440818 	| -2.023320496903351
11 	| [106] 	| -1.8071955386685508 	| -1.7989318342119476 	| -1.7424327344434403
12 	| [102] 	| -1.8583962255617221 	| -1.9232173677633575 	| -1.673280714545642
13 	| [103] 	| -2.355535333047633 	| -2.3095074965338296 	| -2.244987449760761
14 	| [101] 	| -1.9994256340711565 	| -1.7723217050370064 	| -1.8753748466467366
15 	| [105] 	| -1.81234847054635 	| -2.1170768481119526 	| -2.0797870623426578
16 	| [106] 	| -2.3819042886136303 	| -2.206217426677168 	| -2.2790397938052673
17 	| [114] 	| -1.063913274940225 	| -1.0747429955116354 	| -0.7986073434592573
18 	| [103] 	| -1.8738738993146646 	| -1.8164152782882454 	| -1.7651711338970482
19 	| [102] 	| -1.7864153189103136 	| -1.4799011324487612 	| -1.7612050984627636
20 	| [105] 	| -2.3814176321098603 	| -2.4314569057968205 	| -2.452955523660656
21 	| [114] 	| -1.7123551560038837 	| -1.3764658650429777 	| -1.4387488537732391
22 	| [101] 	| -1.0673896407443682 	| -0.9550315735461444 	| -0.6794640787165898
23 	| [106] 	| -2.6794732842843567 	| -2.5371838296218243 	| -2.550062907969844
24 	| [105] 	| -2.299382052709881 	| -2.0877866293058798 	| -2.3150803030953995
25 	| [102] 	| -1.8147868315220694 	| -1.7330299117389223 	| -1.4313018220382656
26 	| [114] 	| -1.7405887730421556 	| -1.4906370536257207 	| -1.5356456720852036
27 	| [103] 	| -1.2006530470845704 	| -1.2463212454582067 	| -1.4489191911519432
28 	| [106] 	| -2.269032571828546 	| -2.0827766285481637 	| -2.1408824214022983
29 	| [101] 	| -1.9802587246581318 	| -1.9599400547945325 	| -1.9475732584778482
30 	| [102] 	| -0.7040385711611983 	| -0.8245754590598892 	| -0.9011392811879396
31 	| [114] 	| -2.512828715542968 	| -2.614496899007508 	| -2.7058825724660807
32 	| [106] 	| -1.5861823904838146 	| -1.7020035965900118 	| -1.4829992643754262
33 	| [101] 	| -0.816627516712197 	| -0.5403132623160094 	| -0.6390501378129584
34 	| [105] 	| -1.665442398254702 	| -2.062119919928677 	| -1.871369791523925
35 	| [103] 	| -2.297794163513963 	| -2.1791088051708227 	| -1.8796972588143865
36 	| [106] 	| -1.9863576922393076 	| -1.7249616197941222 	| -1.837427913003027
37 	| [114] 	| -1.6320890060921263 	| -1.4154299875019665 	| -1.4395357285741566
38 	| [105] 	| -1.3029762609607518 	| -1.0491223441924669 	| -1.1939375207202003
39 	| [103] 	| -2.7324376149628593 	| -2.320034658585926 	| -2.432873181592456
40 	| [102] 	| -1.468099722539129 	| -1.853887811471232 	| -1.9649195084043498
41 	| [101] 	| -1.7492440601615022 	| -1.5368232417674446 	| -1.6544143479368332
42 	| [106] 	| -1.4993995827266149 	| -1.3310414597350633 	| -1.2405965863128552
43 	| [114] 	| -1.5055859628034753 	| -1.8726197265584965 	| -1.667513028281196
44 	| [102] 	| -1.5263153372066536 	| -1.692803590374071 	| -1.6951340292549681
45 	| [101] 	| -2.527324992433902 	| -2.108564733313973 	| -2.251646734044045
46 	| [103] 	| -1.8277123908203898 	| -1.5534901904153267 	| -1.735199367166507
47 	| [105] 	| -1.582677309932622 	| -1.5280589709125736 	| -1.368371678351189
48 	| [114] 	| -1.5516535180983555 	| -1.603232885405316 	| -1.5999559949767352
49 	| [106] 	| -1.252043815194656 	| -1.3880477306257837 	| -1.6470463914762274
50 	| [101] 	| -1.4228635458282117 	| -1.540468007171349 	| -1.5253990909347337
51 	| [102] 	| -1.4896978957166376 	| -1.443673763159146 	| -1.5689822662933015
52 	| [105] 	| -3.7262368618732915 	| -2.7210252923348874 	| -2.6333492301349715
53 	| [103] 	| -1.6912315041536305 	| -1.603741415115227 	| -1.3444428245983544
54 	| [101] 	| -1.3148135239573793 	| -1.2293553500877605 	| -1.1720402043354075
55 	| [114] 	| -1.432905100280764 	| -1.5184293504119353 	| -1.6718959038003547
56 	| [102] 	| -2.0320443570154016 	| -2.1317445469926866 	| -2.2836261073003814
57 	| [106] 	| -1.4262899226080592 	| -1.431281377770628 	| -1.3282655977225188
58 	| [103] 	| -1.3526189818938132 	| -1.4828274118096723 	| -1.52925161007545
59 	| [105] 	| -1.0121031897096304 	| -1.3459620261214627 	| -1.1141639369748273
60 	| [101] 	| -0.7017708311794797 	| -0.9873747402743578 	| -0.9056062469705571
61 	| [102] 	| -2.3150693605032138 	| -2.13754630968333 	| -2.00192845219835
62 	| [103] 	| -0.9721050483935205 	| -1.3950970101846472 	| -1.5722398618249334
63 	| [105] 	| -0.6296231695957135 	| -0.9909250136792233 	| -0.8473979886010148
64 	| [114] 	| -1.1804577083905503 	| -1.2440991176930825 	| -1.0481955518823356
65 	| [106] 	| -1.376307156589407 	| -1.6893804507369221 	| -1.6666566095320894
