New log file - 2025-05-26 03:21:05
================================ Calibration ================================
Calibration data filenames: ['P4_S16/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block3_Run3.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block3_Run4.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block3_Run5.vhdr', 'P4_S16/anonymized/auditoryAphasia_HP_350_Block3_Run6.vhdr']
------------------------- Preprocessing configurations -------------------------
filter_band: (0.5, 16)
non_eeg_channels: ['EOGvu', 'x_EMGl', 'x_GSR', 'x_Respi', 'x_Pulse', 'x_Optic']
decimate: 10
montage: standard_1020
filter_method: iir
only_eeg: True
tmin: -0.2
tmax: 1
baseline: None
channels_to_discard: ['AF7', 'AF3', 'AF4', 'AF8', 'F5', 'F1', 'F2', 'F6', 'FT7', 'FC3', 'FCz', 'FC4', 'FT8', 'C5', 'C1', 'C2', 'C6', 'TP7', 'CP3', 'CPz', 'CP4', 'TP8', 'P5', 'P1', 'P2', 'P6', 'PO7', 'PO5', 'POz', 'PO6', 'PO8', 'Oz']
channels: ['Fp1', 'Fp2', 'F3', 'F4', 'C3', 'C4', 'P3', 'P4', 'O1', 'O2', 'F7', 'F8', 'T7', 'T8', 'P7', 'P8', 'Fz', 'Cz', 'Pz', 'FC1', 'FC2', 'CP1', 'CP2', 'FC5', 'FC6', 'CP5', 'CP6', 'F9', 'F10', 'P9', 'P10']
fs: 100.0
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
X.shape (epochs, features): (8976, 124)
y.shape (epochs,): (8976,)
----------------------------------------------------------------------
n_calibration_trials: 108
n_calibration_epochs: 8976
with the per-run iteration structure:
[[14 12 15 15 15  8]
 [15 15 15 15 15 15]
 [15 15 15 15  8 15]
 [15 15 13 15 12 15]
 [15 15 15 12 15  8]
 [ 8 12 15 10 15 15]
 [13  8 15 15  8 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 11]
 [ 8 15  8 15 14 15]
 [15 15 15  8 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15  8]
 [ 8 15 15 15 15 15]
 [15 15 15 15 15 15]
 [10 15 15 15 15 15]
 [14  8 15 15 15 15]
 [15  8 15 15 15 15]]
Trained all three classifiers on the calibration data.
================================ Online ================================
Online data filenames: ['P4_S17/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block3_Run3.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block3_Run4.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block3_Run5.vhdr', 'P4_S17/anonymized/auditoryAphasia_HP_350_Block3_Run6.vhdr']
Same preprocessing configurations as for the calibration data
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
----------------------------------------------------------------------
n_online_trials: 108
n_online_epochs 8448
with the per-run iteration structure:
[[ 8 15  8 15 15 15]
 [10  9 15 15  8 15]
 [ 8  9 15 15 15 10]
 [ 8 15 13 15 15  8]
 [15  8 15 12 15 15]
 [15 15 15 15 11 15]
 [ 8  8 15  8 15 15]
 [ 8 15  8 15 15 15]
 [15 15 15 15 15  8]
 [15 11 15 15 15 15]
 [15 15  8 13 10 15]
 [15  9 11 15 15 15]
 [15 15 12 15 15 15]
 [ 8 15 15  8 11 15]
 [ 8 15 15 15 15 15]
 [ 8 15 13 15 15 15]
 [ 8  9 10 15 15 15]
 [15 15 15 15  8 15]]
Online simulation starts
Number of online trials: 108, which is 18.0 runs
------------------ Run 1 Trial 1  (total trials: 1/108) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
0 	| [105] 	| -1.7473455354737437 	| -1.9100879869108724 	| -1.685924705987858
1 	| [106] 	| -1.5270670114365261 	| -1.416354076639451 	| -1.7457518159382812
2 	| [112] 	| -1.2595592549734613 	| -1.1416879037725534 	| -1.0460051414158222
3 	| [103] 	| -2.0540728746813484 	| -1.9507469959501689 	| -1.7991635234645902
4 	| [104] 	| -2.5182171559207074 	| -2.2528130592202835 	| -2.514652878409047
5 	| [101] 	| -2.1987299309248396 	| -1.8648302890554709 	| -1.7242157214908649
6 	| [112] 	| -0.4394383916046034 	| -0.840356604774647 	| -0.5889554858947137
7 	| [106] 	| -2.120146343887449 	| -1.9727509461654777 	| -2.2436817139309313
8 	| [103] 	| -3.128232080308135 	| -2.557159407072514 	| -2.6843807595012326
9 	| [104] 	| -0.8013634585356275 	| -1.1067901766223853 	| -0.9341130840684502
10 	| [101] 	| -1.8659867329472288 	| -1.9029637564359518 	| -2.0382985348209894
11 	| [105] 	| -2.071836956338307 	| -1.9317503955747255 	| -1.8375496761320316
12 	| [103] 	| -1.1245182645039615 	| -1.2618217272364958 	| -1.0453921524139833
13 	| [106] 	| -1.953226778327897 	| -1.6149313985392404 	| -1.840746607386816
14 	| [101] 	| -2.161549949887104 	| -2.177957427342216 	| -2.1742016895396916
15 	| [105] 	| -1.6087098250505774 	| -1.5287225357821088 	| -1.5368610162236218
16 	| [112] 	| -1.335257868790012 	| -0.923597327730897 	| -0.6842459678263642
17 	| [104] 	| -0.4152081256869644 	| -1.191588020792283 	| -1.1876182845306236
18 	| [106] 	| -1.8646528577645065 	| -1.7589251960134036 	| -1.9910887713687004
19 	| [105] 	| -2.306270758505257 	| -2.2137156313003277 	| -2.2950942636742315
20 	| [101] 	| -0.9793152543382807 	| -1.5595107831926975 	| -1.3872546428642025
21 	| [103] 	| -1.0775598116999692 	| -1.3653412526396806 	| -1.3859837159443074
22 	| [112] 	| 0.40139592977841243 	| 0.1917220593482738 	| 0.433167843384798
23 	| [104] 	| -3.677345665068237 	| -3.284553302997197 	| -3.5775354739805856
24 	| [101] 	| -3.1098113549660393 	| -2.4555135324120236 	| -2.45093999357467
25 	| [106] 	| -1.9819188211302414 	| -1.947274712186208 	| -1.8914710410079758
26 	| [105] 	| -0.41238734060395865 	| -0.9075578610617944 	| -0.7458246467187892
27 	| [112] 	| -0.5280173093342084 	| -0.7033750568552548 	| -0.64863230377271
28 	| [104] 	| -3.269506251575767 	| -2.7527447285296205 	| -3.0252119155981734
29 	| [103] 	| -2.39083911995248 	| -2.480356819080637 	| -2.2258882408981067
30 	| [105] 	| -1.8744359913341313 	| -1.8508124267810933 	| -2.0211722049270398
31 	| [112] 	| -1.7976972485492615 	| -1.4710865719385844 	| -1.609440300791221
32 	| [106] 	| -0.511840564292861 	| -0.9939783529137642 	| -0.839372576612214
33 	| [101] 	| -1.748627103051404 	| -1.806410687992587 	| -1.9107912000387643
34 	| [104] 	| -1.9406846080998266 	| -1.8890160488778984 	| -1.9310449817496427
35 	| [103] 	| -1.6964626307505135 	| -1.6476430835678548 	| -1.5451045834957664
36 	| [106] 	| -2.2741209135119234 	| -1.8940425272322516 	| -1.9448145407673014
37 	| [101] 	| -2.3425212453764757 	| -1.8532289282743877 	| -2.0379122111000414
38 	| [104] 	| -2.0959275811385307 	| -1.972758368221188 	| -1.9206755393304007
39 	| [112] 	| -0.9259263016126691 	| -1.2318998013610678 	| -0.9035068030123097
40 	| [105] 	| -2.820738576053475 	| -1.9265870532787681 	| -2.4340711378981443
41 	| [103] 	| -1.1434385178302333 	| -1.598252780767319 	| -1.4924948150545
42 	| [104] 	| -1.4706024766004016 	| -1.4628176162136102 	| -1.362115065629263
43 	| [106] 	| -2.3523190097842193 	| -1.874879610195066 	| -2.03014276194242
44 	| [112] 	| -1.8924211710847427 	| -1.860631268035494 	| -1.8199799336100109
45 	| [105] 	| -2.0429916739174656 	| -1.8933022581107357 	| -1.86230635227976
46 	| [101] 	| -3.01541329275977 	| -2.4619867772210107 	| -2.43011555703541
47 	| [103] 	| -0.5487738715507895 	| -0.5910544557874606 	| -0.5666974250110428
------------------ End of trial ------------------
{real_word} | {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
2 			| 2 				| 2 					| 2 
------------------ Run 1 Trial 2  (total trials: 2/108) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
48 	| [102] 	| -1.9681653821016845 	| -1.4105738447907479 	| -1.4321645679781212
49 	| [106] 	| -2.694795676208412 	| -2.2970346361942386 	| -2.708778738498471
50 	| [101] 	| -0.8190640479886658 	| -1.083440419425491 	| -0.7926034555600014
51 	| [104] 	| -1.33813707706826 	| -1.5164566024334376 	| -1.2754456361640998
52 	| [105] 	| -2.2351164714452114 	| -1.9949504178385669 	| -2.0538409361969006
53 	| [113] 	| -3.2806624049143824 	| -2.904950490261128 	| -3.1020453273270108
54 	| [102] 	| -2.1895273025148105 	| -1.8349843632116132 	| -1.558591342162033
55 	| [104] 	| -0.6295631790228458 	| -1.2514504710907846 	| -1.3367716406333447
56 	| [105] 	| -2.208697737346048 	| -2.2637037714332804 	| -2.068988412336287
57 	| [101] 	| -1.6731328997881485 	| -1.5528040627533062 	| -1.3244350365103612
58 	| [113] 	| -0.9068260849825488 	| -1.3695352403601333 	| -1.454972369384222
59 	| [106] 	| -2.4084491509847084 	| -2.348373525132579 	| -2.3565760818245893
60 	| [105] 	| -1.03776751395469 	| -1.170233457486344 	| -1.0515912389622644
61 	| [102] 	| -1.9426115923722804 	| -1.9023935468741826 	| -2.1096142187623235
