New log file - 2025-05-26 02:36:24
================================ Calibration ================================
Calibration data filenames: ['P4_S7/anonymized/auditoryAphasia_6D_350_Block1_Run1.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block1_Run2.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block1_Run3.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block1_Run4.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block1_Run5.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block1_Run6.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block2_Run1.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block2_Run2.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block2_Run3.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block2_Run4.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block2_Run5.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block2_Run6.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block3_Run1.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block3_Run2.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block3_Run3.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block3_Run4.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block3_Run5.vhdr', 'P4_S7/anonymized/auditoryAphasia_6D_350_Block3_Run6.vhdr']
------------------------- Preprocessing configurations -------------------------
filter_band: (0.5, 16)
non_eeg_channels: ['EOGvu', 'x_EMGl', 'x_GSR', 'x_Respi', 'x_Pulse', 'x_Optic']
decimate: 10
montage: standard_1020
filter_method: iir
only_eeg: True
tmin: -0.2
tmax: 1
baseline: None
channels_to_discard: ['AF7', 'AF3', 'AF4', 'AF8', 'F5', 'F1', 'F2', 'F6', 'FT7', 'FC3', 'FCz', 'FC4', 'FT8', 'C5', 'C1', 'C2', 'C6', 'TP7', 'CP3', 'CPz', 'CP4', 'TP8', 'P5', 'P1', 'P2', 'P6', 'PO7', 'PO5', 'POz', 'PO6', 'PO8', 'Oz']
channels: ['Fp1', 'Fp2', 'F3', 'F4', 'C3', 'C4', 'P3', 'P4', 'O1', 'O2', 'F7', 'F8', 'T7', 'T8', 'P7', 'P8', 'Fz', 'Cz', 'Pz', 'FC1', 'FC2', 'CP1', 'CP2', 'FC5', 'FC6', 'CP5', 'CP6', 'F9', 'F10', 'P9', 'P10']
fs: 100.0
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
X.shape (epochs, features): (8970, 124)
y.shape (epochs,): (8970,)
----------------------------------------------------------------------
n_calibration_trials: 108
n_calibration_epochs: 8970
with the per-run iteration structure:
[[15 12 15 15 15  8]
 [15  8 15 15  9 15]
 [15 15 15 15 15 15]
 [15 15 13 15 15 15]
 [15 15 15 15  8 15]
 [15 15 15 15 15  8]
 [ 8 15 15 15 15 15]
 [12 13 15 15 15 15]
 [15 15  9 15 15 15]
 [ 8 15 10  9 15 15]
 [15 14 15 15 15 13]
 [15 15 15 15 15 15]
 [15 15 15 11  9 15]
 [15 15 15 15  9 15]
 [ 8 15 15 15 15 11]
 [15 15 15 15 15 10]
 [15 15  8 13 15  9]
 [15 15 15 15 15 15]]
Trained all three classifiers on the calibration data.
================================ Online ================================
Online data filenames: ['P4_S8/anonymized/auditoryAphasia_6D_350_Block1_Run1.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block1_Run2.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block1_Run3.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block1_Run4.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block1_Run5.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block1_Run6.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block2_Run1.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block2_Run2.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block2_Run3.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block2_Run4.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block2_Run5.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block2_Run6.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block3_Run1.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block3_Run2.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block3_Run3.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block3_Run4.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block3_Run5.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block3_Run6.vhdr', 'P4_S8/anonymized/auditoryAphasia_6D_350_Block4_Run1.vhdr']
Same preprocessing configurations as for the calibration data
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
----------------------------------------------------------------------
n_online_trials: 114
n_online_epochs 9018
with the per-run iteration structure:
[[15 15 15 15 14  8]
 [15 15 15 11 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15  8 15  9]
 [15 10 14 15 10 15]
 [15 11 15 10 10 15]
 [15 13 12 15 15 15]
 [13 15 15 15 15  8]
 [15 15 12  9 12 13]
 [15 15 13  8 14 15]
 [ 8  9 15 10  8 15]
 [ 8 15 15  8  8  8]
 [11 15 15 14 15  9]
 [13 15  8 10 11 15]
 [ 8 15 13 15 14 15]
 [12  8 15 10 10 15]
 [12 15 15 15 11 15]]
Online simulation starts
Number of online trials: 114, which is 19.0 runs
------------------ Run 1 Trial 1  (total trials: 1/114) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
0 	| [101] 	| -5.016433513840239 	| -4.171211482158467 	| -4.5239344097716465
1 	| [105] 	| -4.2063298894420065 	| -4.375891717171179 	| -4.51152462006554
2 	| [112] 	| 0.7004435310226835 	| 1.3108309875884516 	| 1.8086359984972709
3 	| [106] 	| -0.8353289106356887 	| -0.6125098978734582 	| -1.1437262792230751
4 	| [104] 	| -4.107300543425978 	| -3.9760098110310373 	| -4.5156114859087735
5 	| [103] 	| -0.7563929505213984 	| -1.0596265346406337 	| -1.1484512060720569
6 	| [101] 	| -1.409710040678341 	| -1.384204494313515 	| -0.9044003263976955
7 	| [112] 	| -3.9105105718345907 	| -3.205409462282381 	| -3.6754897193226883
8 	| [105] 	| -0.3729072944980443 	| -1.027711578694917 	| -0.9185815265509062
9 	| [106] 	| 0.7540949689475314 	| 0.30368167617208774 	| 0.3771491905409816
10 	| [104] 	| -6.192744810098695 	| -5.302795237139048 	| -5.9172921320570335
11 	| [103] 	| -3.642839169605548 	| -3.948659969176303 	| -4.562938905625182
12 	| [105] 	| -3.2708642031773874 	| -3.384920854386976 	| -2.2073876271990733
13 	| [101] 	| -6.543699078497822 	| -7.12488215472005 	| -4.28770619296713
14 	| [112] 	| -2.908139858440138 	| -2.6674035262670324 	| -3.0880293378931354
15 	| [104] 	| -3.6825787841766164 	| -3.7598245610252943 	| -3.716367992993236
16 	| [103] 	| -1.301606392051414 	| -1.4917543527142998 	| -0.48885429779230605
17 	| [106] 	| -3.3833404027615805 	| -2.9314714895766465 	| -3.3347889924549095
18 	| [101] 	| -1.6406841830234744 	| -1.7413824413229655 	| -1.7973101542237244
19 	| [104] 	| -3.8320222247147075 	| -3.358141047735578 	| -2.8651646597639795
20 	| [105] 	| -2.7403053637778876 	| -2.7226482346834597 	| -3.09091322192914
21 	| [106] 	| -0.9225556415389429 	| -1.4506172142851999 	| -0.9265558552995927
22 	| [112] 	| -5.198836659446254 	| -4.3684284363653445 	| -4.089956398412334
23 	| [103] 	| -3.6113139463188815 	| -3.581360939756249 	| -3.057818475621156
24 	| [105] 	| 0.7074360012778875 	| -0.12948135158707075 	| -0.5000231935330757
25 	| [101] 	| -3.4958686361783498 	| -3.581804760449938 	| -3.079203969513414
26 	| [106] 	| -3.6902263144145087 	| -3.241728691739393 	| -4.078551916793413
27 	| [104] 	| -0.15734583376244426 	| -0.6046249824649448 	| -0.9583399842133853
28 	| [112] 	| -1.4410050744605067 	| -1.9386596317566918 	| -1.3781962804785168
29 	| [103] 	| -5.131567995775544 	| -4.3821105744572835 	| -4.56422651925474
30 	| [106] 	| -1.7894658443675833 	| -2.119276629609007 	| -2.6913711276621166
31 	| [105] 	| -3.9324941252689225 	| -3.750041444891128 	| -2.3910067415697056
32 	| [112] 	| -4.714969019597438 	| -3.900703824240826 	| -3.465150035122038
33 	| [103] 	| -1.8446208420457109 	| -1.7267740611649305 	| -1.9897569641576323
34 	| [104] 	| -2.6384752728238006 	| -3.0722291935776003 	| -3.0236128781197302
35 	| [101] 	| -7.819615159710232 	| -6.587861438505032 	| -6.077315532185327
36 	| [106] 	| 0.3044351648211858 	| 0.03322769572177853 	| -0.15406919934028646
37 	| [105] 	| -1.4338898935544295 	| -1.919179737305092 	| -1.310716782049007
38 	| [112] 	| -4.074357751378936 	| -3.654670829736391 	| -3.2192061798486726
39 	| [101] 	| -0.4162635338894449 	| -0.4862121259090748 	| -0.7889638289808973
40 	| [104] 	| -5.391504240197646 	| -5.32141801163427 	| -5.903229449423363
41 	| [103] 	| -1.0359461878806049 	| -0.9059943606832694 	| 0.4965147611592961
42 	| [112] 	| -3.2099931668620756 	| -2.897975585920249 	| -3.540567622882602
43 	| [105] 	| -2.532939480407339 	| -2.718879528698886 	| -2.845401792889182
44 	| [106] 	| -2.9517118399188442 	| -2.4046616354795978 	| -1.9641189766709966
45 	| [103] 	| -3.2726975902717528 	| -2.869590106691885 	| -3.332649374419926
46 	| [104] 	| -2.480408217390414 	| -2.3941863834292514 	| -2.5213402978181216
47 	| [101] 	| -1.6333218528503766 	| -1.6662476280467295 	| -1.1823892741789241
48 	| [106] 	| -5.032443802312651 	| -4.20062676370908 	| -4.495967027172826
49 	| [112] 	| -2.970163037108218 	| -2.9882543264143178 	| -2.9485330308830164
50 	| [105] 	| -2.0188991859252585 	| -2.17889709952948 	| -1.5245928662079529
51 	| [101] 	| -3.9073442954448687 	| -3.1737638470075913 	| -2.9227586145231323
52 	| [104] 	| -1.5648517077145747 	| -1.6593124603869178 	| -2.717487325342286
53 	| [103] 	| -4.736754034429016 	| -4.606666264059547 	| -4.568165411381722
54 	| [106] 	| -3.8075267114555373 	| -3.397251947366873 	| -2.7590985141796214
55 	| [105] 	| -3.563770049896969 	| -3.6947513893501553 	| -3.685158176282751
56 	| [112] 	| -3.600612057321414 	| -3.347317113020973 	| -3.2027267108135513
57 	| [101] 	| -1.200142031669164 	| -0.5313974966265922 	| 0.6825771232326715
58 	| [104] 	| -2.260318659487318 	| -1.9649760189202514 	| -2.574922738020538
59 	| [103] 	| -5.51534124702203 	| -5.705501514297183 	| -6.4634166393531975
60 	| [105] 	| -5.015629070376225 	| -4.382490763624131 	| -3.097318482970056
61 	| [106] 	| 1.6137163713831395 	| 2.3774283119107635 	| 2.3834099324991547
62 	| [101] 	| -1.7030044107533047 	| -1.8890554318516357 	| -2.6280538307738492
63 	| [104] 	| -7.633160020439785 	| -7.08697511491734 	| -6.4791753683339195
64 	| [112] 	| 0.6431314607702059 	| 0.15740867688741167 	| 0.019141243644193395
65 	| [103] 	| -1.7276893059941607 	| -2.0691091566682287 	| -2.0542209835005023
66 	| [101] 	| -3.54370481247432 	| -3.667539095176079 	| -2.3591520598440736
