New log file - 2025-05-26 01:40:05
================================ Calibration ================================
Calibration data filenames: ['P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr']
------------------------- Preprocessing configurations -------------------------
filter_band: (0.5, 16)
non_eeg_channels: ['EOGvu', 'x_EMGl', 'x_GSR', 'x_Respi', 'x_Pulse', 'x_Optic']
decimate: 10
montage: standard_1020
filter_method: iir
only_eeg: True
tmin: -0.2
tmax: 1
baseline: None
channels_to_discard: ['AF7', 'AF3', 'AF4', 'AF8', 'F5', 'F1', 'F2', 'F6', 'FT7', 'FC3', 'FCz', 'FC4', 'FT8', 'C5', 'C1', 'C2', 'C6', 'TP7', 'CP3', 'CPz', 'CP4', 'TP8', 'P5', 'P1', 'P2', 'P6', 'PO7', 'PO5', 'POz', 'PO6', 'PO8', 'Oz']
channels: ['Fp1', 'Fp2', 'F3', 'F4', 'C3', 'C4', 'P3', 'P4', 'O1', 'O2', 'F7', 'F8', 'T7', 'T8', 'P7', 'P8', 'Fz', 'Cz', 'Pz', 'FC1', 'FC2', 'CP1', 'CP2', 'FC5', 'FC6', 'CP5', 'CP6', 'F9', 'F10', 'P9', 'P10']
fs: 100.0
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
X.shape (epochs, features): (6372, 124)
y.shape (epochs,): (6372,)
----------------------------------------------------------------------
n_calibration_trials: 84
n_calibration_epochs: 6372
with the per-run iteration structure:
[[15 15 15 15 15 15]
 [ 8 15 13 15 15  8]
 [ 8 11 15 14 15 15]
 [15 15 15  8 13 15]
 [11  8 15 15 15 15]
 [15  8  8  8 15 14]
 [15  8 15 15 15 10]
 [15 15 15 15 13 15]
 [10 15 15 15 13 15]
 [15 10  8 15  8  8]
 [ 8 15  8  8 15  9]
 [15 15  8 15  9 15]
 [ 8 11  9 15 12  8]
 [ 8  8 15 15 15 15]]
Trained all three classifiers on the calibration data.
================================ Online ================================
Online data filenames: ['P5_S9/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block3_Run3.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block3_Run4.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block3_Run5.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block3_Run6.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block4_Run1.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block4_Run2.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block4_Run3.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block4_Run4.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block4_Run5.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block4_Run6.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block5_Run1.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block5_Run2.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block5_Run3.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block5_Run4.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block5_Run5.vhdr', 'P5_S9/anonymized/auditoryAphasia_HP_350_Block5_Run6.vhdr']
Same preprocessing configurations as for the calibration data
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
----------------------------------------------------------------------
n_online_trials: 180
n_online_epochs 12276
with the per-run iteration structure:
[[15 15 15 15 15 15]
 [15  8  8 15 15 15]
 [15 15 12 15 15 15]
 [ 8 10 15 15 15 15]
 [11 15 15 15  8  8]
 [ 8  8  8 15 15 15]
 [14  9 15  8 15 15]
 [15 15 15 15 11 15]
 [ 8  8  8  8  9 13]
 [ 8 15  8 15  9  8]
 [15  8  8 11 14 15]
 [15 15  8 15  8  8]
 [ 8 10  8  8  8  8]
 [ 8  8  9  8  8  9]
 [ 8 15 12  8  8  8]
 [ 8 11  9 15 11  9]
 [ 8  8  8  8 13 15]
 [15  8  8 10  8 15]
 [15  8  8  8 11 12]
 [ 8 15 14  9  8  9]
 [ 8 12  8 13  8  9]
 [ 8  8  8 15  8 15]
 [ 8  8  8 15 15  9]
 [14 10  9  8  8 15]
 [ 8  8  8  8  8 15]
 [ 9  8  8  8 15 10]
 [15 15 11  8  8 15]
 [15 15 15 15 15 15]
 [15 15 10 15 15 10]
 [15 14 15 15  8 15]]
Online simulation starts
Number of online trials: 180, which is 30.0 runs
------------------ Run 1 Trial 1  (total trials: 1/180) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
0 	| [104] 	| -3.2304389580529493 	| -3.0422037945508036 	| -3.047822786800924
1 	| [102] 	| -2.5570892287179725 	| -2.2988543472926315 	| -2.4574533624383545
2 	| [101] 	| -1.5587486728631483 	| -1.4958407685622597 	| -1.7371086877439414
3 	| [115] 	| -2.0151234009528483 	| -1.3699455961438516 	| -1.4628606771037538
4 	| [103] 	| -0.9652580215036328 	| -1.7367613225429248 	| -1.5002571474535302
5 	| [106] 	| -2.5527664085958905 	| -1.815172069217695 	| -1.9911224872339737
6 	| [102] 	| -2.3332667479782376 	| -2.157791540443555 	| -2.2993361776117056
7 	| [115] 	| -0.743313429743192 	| -1.1108691853407944 	| -1.2231986005176672
8 	| [101] 	| -0.598889160425117 	| -0.7947129577606601 	| -0.6172032663186855
9 	| [103] 	| -2.6848788902330405 	| -2.4657369872336328 	| -2.506484424734757
10 	| [104] 	| -1.4861015923726266 	| -1.5945186802257674 	| -1.6491181166866848
11 	| [106] 	| -1.7024138059029061 	| -1.869256482046026 	| -1.8028900760156565
12 	| [101] 	| -2.159863557468152 	| -2.0035804073265466 	| -2.0674484724678543
13 	| [103] 	| -1.8035870555655587 	| -1.9058309475557365 	| -2.209598275840364
14 	| [104] 	| 0.3132028512446434 	| 0.3549076137983813 	| 0.023615758679785825
15 	| [106] 	| -2.408241080963696 	| -3.010146698699079 	| -2.5249338394000804
16 	| [102] 	| -2.036155698510056 	| -1.8142288259877304 	| -2.0241944895293296
17 	| [115] 	| -2.6195865348362206 	| -2.2669380087024087 	| -2.55324573984358
18 	| [104] 	| -1.6530147415242342 	| -1.4548200166684446 	| -1.383744613384177
19 	| [101] 	| -1.1632819711937397 	| -1.6234903692610299 	| -1.5724205700830527
20 	| [102] 	| -1.7340672037126847 	| -2.058476813161852 	| -2.07124381150226
21 	| [106] 	| -1.8375459080672416 	| -1.8827886980803454 	| -1.907158873649803
22 	| [115] 	| -2.5711863594951065 	| -2.3345673323050558 	| -2.630212424514414
23 	| [103] 	| -1.2072113484549878 	| -1.2266738044208196 	| -1.196697397988558
24 	| [104] 	| -3.0445599362488744 	| -2.6857209902888104 	| -2.7459381968829852
25 	| [106] 	| -1.3184097521137492 	| -1.2853521074808285 	| -1.2233429742345017
26 	| [101] 	| -1.2358354601099428 	| -1.5101851766163987 	| -1.4944933041330581
27 	| [115] 	| -2.799061371227038 	| -2.617745643945502 	| -2.7451520945083585
28 	| [102] 	| -1.6329543474451371 	| -1.7409536377457469 	| -1.6927220434487373
29 	| [103] 	| -2.203301816783827 	| -1.8850344161861297 	| -1.7807670891354297
30 	| [104] 	| -1.633778261871135 	| -1.8062048939840607 	| -1.8618020991072557
31 	| [101] 	| -1.5551761466108687 	| -1.6148628574344124 	| -1.6953403047477864
32 	| [102] 	| -1.444646335680309 	| -1.463392011944256 	| -1.5302901925985024
33 	| [106] 	| -0.7818316281559721 	| -0.9267961994143107 	| -0.828198216177302
34 	| [103] 	| -1.2482868496395092 	| -1.687952210956135 	| -1.7032738192211743
35 	| [115] 	| -0.055629252945407215 	| -0.19917900977540426 	| -0.0809432092403829
36 	| [101] 	| -1.1629031119858966 	| -1.4337306457205756 	| -1.5600282352126777
37 	| [104] 	| -2.2551281632713853 	| -2.2175136920130125 	| -2.4390386251110523
38 	| [102] 	| -0.7598337775677317 	| -0.9117877151238646 	| -1.0548852843245262
39 	| [115] 	| -0.657664693594064 	| -0.832413373052192 	| -0.873706028881348
40 	| [106] 	| -4.013382065137011 	| -3.167126011217781 	| -3.23561829057217
41 	| [103] 	| -0.26437858426261385 	| -0.7264961314531557 	| -0.7686633290563794
42 	| [102] 	| -1.8388269258478953 	| -1.6898617008817238 	| -1.5768922628419115
43 	| [101] 	| -2.91341287541878 	| -2.4610928393526694 	| -2.513340364714999
44 	| [104] 	| -1.0191581528320335 	| -1.16191338423173 	| -1.2015952961339729
45 	| [115] 	| -1.6358390733925612 	| -1.68071310628701 	| -1.7731191410935603
46 	| [103] 	| -2.002522553480334 	| -1.9527224722816796 	| -1.9849193762985717
47 	| [106] 	| -0.6269958122618291 	| -0.8709260153952268 	| -0.7991232103472694
48 	| [104] 	| -1.302537147014958 	| -1.3426048093999212 	| -1.2323415751638152
49 	| [102] 	| -3.4660194793995025 	| -2.6950650981844007 	| -2.870082191435349
50 	| [103] 	| -1.8830836709153036 	| -1.7886667967609355 	| -1.89362592067941
51 	| [115] 	| 0.6740582766710286 	| 0.17496861953349718 	| 0.10502631989012345
52 	| [106] 	| -2.639934736394543 	| -2.1316443543791985 	| -2.2006243591328203
53 	| [101] 	| -1.8394078787979318 	| -2.09749666006627 	| -2.1828500794792456
54 	| [103] 	| -0.17943078681077096 	| -0.7055303590823536 	| -0.5330811759768916
55 	| [104] 	| -3.236485829334062 	| -2.829140274408588 	| -2.9317795841585834
56 	| [102] 	| -1.8061992191633993 	| -1.7729145268364706 	| -1.801768079937717
57 	| [106] 	| -2.6686543198916604 	| -2.3871200114617372 	| -2.4249390994292783
58 	| [115] 	| -2.148396539130587 	| -2.059063248939232 	| -1.8676820349071193
59 	| [101] 	| -0.6202828755291598 	| -0.8429402050298398 	| -0.9078026212409518
60 	| [102] 	| -2.7194303016357426 	| -1.965587695116346 	| -2.2416807929322493
61 	| [103] 	| -3.15769962934879 	| -2.9583034808755615 	| -3.0060962586206963
62 	| [104] 	| -1.1649245191803994 	| -1.3870514563249547 	| -1.3332317746787528
63 	| [101] 	| -1.343607108529483 	| -1.2222407114396434 	| -1.194129860057151
64 	| [106] 	| -2.475100395718539 	| -2.185761604197158 	| -2.2032068702889376
65 	| [115] 	| -0.374490507076066 	| -0.6315725985923115 	| -0.6416541133690545
66 	| [102] 	| -1.6622275705468659 	| -1.4591925550975255 	| -1.3946264805396982
67 	| [104] 	| -2.585706048294276 	| -2.4396401519968376 	| -2.4577267669223435
68 	| [103] 	| -0.7502486965134061 	| -0.9483256780043107 	| -0.884165383128041
69 	| [106] 	| -2.3273200273193564 	| -2.26559863008534 	| -2.4355447192710145
70 	| [101] 	| -2.3369360641764723 	| -2.0518807513726367 	| -2.0888941961322756
71 	| [115] 	| 0.8019105201402061 	| -0.24964675129000957 	| -0.11054364188509991
72 	| [102] 	| -2.966853169350853 	| -2.6828484618932147 	| -2.8732607574523894
73 	| [104] 	| -2.026906441741127 	| -1.9018188425186107 	| -1.9540813001422705
74 	| [103] 	| -0.3558593369373402 	| -0.5520450766514502 	| -0.480488552477477
75 	| [115] 	| -1.26738601729054 	| -1.3966226280141543 	| -1.3276136881085887
