INFO:root:New log file
INFO:root:Trained all three classifiers on the calibration data.
INFO:root:Online simulation starts
INFO:root:Number of online trials: 84, which is 14.0 runs
INFO:root:------------------ Run 1 Trial 1 ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:0 	| [101] 	| 3.0429814677783718 	| -0.043224845955551316 	| 0.2589240417489622
INFO:root:1 	| [106] 	| 2.3886954301661723 	| -1.6697878731602942 	| -1.115563833066832
INFO:root:2 	| [102] 	| -7.775569270255674 	| -1.9182424496036252 	| -2.3008487891325657
INFO:root:3 	| [113] 	| 0.6455613777108089 	| -1.9619278869172727 	| -1.946074802851062
INFO:root:4 	| [105] 	| 0.288744957478843 	| -1.092883412000246 	| -0.8513447875329319
INFO:root:5 	| [104] 	| 0.8320483058397994 	| -1.0906278388071928 	| -0.7825127968761189
INFO:root:6 	| [106] 	| -3.866673271302971 	| -2.239774573213788 	| -2.427963252316853
INFO:root:7 	| [113] 	| -0.3617017066906334 	| -1.6755017618545178 	| -1.6813403490739502
INFO:root:8 	| [101] 	| -2.188554474709223 	| -1.9113390091397562 	| -1.9277864418859443
INFO:root:9 	| [102] 	| -0.5272766911388973 	| -1.8863645701493121 	| -1.9388920917512769
INFO:root:10 	| [104] 	| 1.4366355175965901 	| -0.6102959036117617 	| -0.22743279599946242
INFO:root:11 	| [105] 	| -1.9682551273143134 	| -1.883033498456697 	| -2.0990035816151447
INFO:root:12 	| [106] 	| -3.628209270977906 	| -1.5626124935483194 	| -1.7193338193250487
INFO:root:13 	| [113] 	| 1.160640183950732 	| -1.3450647422771993 	| -1.2125815642608297
INFO:root:14 	| [105] 	| 1.6343720373689432 	| -1.010204514103973 	| -0.5770431431059577
INFO:root:15 	| [102] 	| -7.871523041593754 	| -2.4623861796388953 	| -2.999467876607984
INFO:root:16 	| [101] 	| -1.895264336174776 	| -1.7309803348569315 	| -1.8569721025842658
INFO:root:17 	| [104] 	| -0.5352747136687235 	| -1.9690522924310616 	| -1.8453500909724878
INFO:root:18 	| [113] 	| -2.393036324601474 	| -1.4397751091001434 	| -1.3384664444575374
INFO:root:19 	| [101] 	| -1.9843989418001455 	| -1.6699294187986407 	| -1.6106345256844525
INFO:root:20 	| [102] 	| -2.696081825392338 	| -1.7788040096607123 	| -1.8706602063510755
INFO:root:21 	| [106] 	| -2.4878108156671943 	| -1.9720067118930247 	| -1.9749067915823728
INFO:root:22 	| [104] 	| -0.4008635827310476 	| -1.4139502314776875 	| -1.29361125239005
INFO:root:23 	| [105] 	| -2.1934150556327654 	| -2.091415889782679 	| -2.1105436017750208
INFO:root:24 	| [101] 	| -3.072125738697614 	| -1.566476656134586 	| -1.8116822249765128
INFO:root:25 	| [106] 	| -2.308760451579319 	| -1.6967206568321223 	| -1.3514647780539755
INFO:root:26 	| [105] 	| -1.1348061924816968 	| -1.5543489509332085 	| -1.521163091083963
INFO:root:27 	| [102] 	| -2.273060904904912 	| -1.783484378017251 	| -1.6524473533189057
INFO:root:28 	| [104] 	| -7.302549848474515 	| -2.257406944400322 	| -2.845079747699906
INFO:root:29 	| [113] 	| 0.6219966977672662 	| -0.8665137743159689 	| -0.8661256111959474
INFO:root:30 	| [105] 	| 1.03688113199991 	| -1.6773750691477598 	| -1.4491549222629176
INFO:root:31 	| [104] 	| -1.2538170794849677 	| -2.30633099418689 	| -2.3586660971899702
INFO:root:32 	| [101] 	| -2.3889660876149432 	| -1.1920135771093494 	| -1.1941220746983383
INFO:root:33 	| [106] 	| -3.392542083988399 	| -2.350832286970631 	| -2.5481289279127943
INFO:root:34 	| [102] 	| -0.4808146727744105 	| -1.4204747362545762 	| -1.28357149735268
INFO:root:35 	| [113] 	| -0.7696990768037083 	| -1.5546075046427976 	| -1.3663708574088074
INFO:root:36 	| [101] 	| -3.539991058980421 	| -1.8694441318707984 	| -2.015611221090639
INFO:root:37 	| [104] 	| -3.801473708027868 	| -2.357818504012755 	| -2.6640335405916087
INFO:root:38 	| [102] 	| 0.23789947165037906 	| -1.2575790788918373 	| -0.7798741346525087
INFO:root:39 	| [113] 	| -1.764530991736487 	| -1.6443350796555662 	| -1.6566407641120164
INFO:root:40 	| [105] 	| -2.859850726419987 	| -2.371517041182916 	| -2.6881661473939564
INFO:root:41 	| [106] 	| -1.4201978589642525 	| -1.3464807294031869 	| -1.3730520314218506
INFO:root:42 	| [101] 	| -2.1387881976800602 	| -1.7949685026402045 	| -1.7972417434855614
INFO:root:43 	| [104] 	| -1.1963605925258758 	| -1.031833007329812 	| -0.840144840749838
INFO:root:44 	| [106] 	| -3.092307835254299 	| -2.299097319903282 	| -2.443775950167046
INFO:root:45 	| [105] 	| -1.1092515695137097 	| -1.4042767485042944 	| -1.3312444143394346
INFO:root:46 	| [113] 	| -0.9846622021789927 	| -0.9553729821959792 	| -0.7947367201671562
INFO:root:47 	| [102] 	| -3.895702694102705 	| -2.725649693596643 	| -3.1289482686956034
INFO:root:48 	| [104] 	| 0.672451403925242 	| -1.036272149611544 	| -0.9073937059532318
INFO:root:49 	| [113] 	| -1.5131074613459623 	| -1.2202275651141907 	| -1.1509700145321509
INFO:root:50 	| [106] 	| -3.322393637516256 	| -2.0924094973325262 	| -2.392514654437246
INFO:root:51 	| [102] 	| -1.8046189911104813 	| -1.780300115242604 	| -1.8639348337032757
INFO:root:52 	| [105] 	| -1.3083231714854229 	| -1.4445958294847903 	| -1.2546960789756527
INFO:root:53 	| [101] 	| -2.605516005465094 	| -1.9973924453183587 	| -2.165216816814525
INFO:root:54 	| [113] 	| -2.075928574275519 	| -1.7425728827397622 	| -1.7648752682399405
INFO:root:55 	| [105] 	| -1.0853805626602067 	| -1.5295387245237801 	| -1.472254572731674
INFO:root:56 	| [104] 	| -2.9280115671612936 	| -2.234775840105077 	| -2.324673030951644
INFO:root:57 	| [106] 	| -0.3050514394559414 	| -0.7866205824530506 	| -0.5615037779312967
INFO:root:58 	| [102] 	| -1.970996320339491 	| -1.888917089748024 	| -1.9871297554563774
INFO:root:59 	| [101] 	| -1.364207364664336 	| -1.129163020147641 	| -0.9519781764431332
INFO:root:60 	| [104] 	| -2.681178251509565 	| -2.184319703832264 	| -2.3478913004327073
INFO:root:61 	| [102] 	| -1.7736326338198791 	| -1.927520021903544 	| -1.9568621109854574
INFO:root:62 	| [113] 	| -0.7733732705453413 	| -1.2581454985617586 	| -1.040795248615085
INFO:root:63 	| [101] 	| -3.1512019930853308 	| -2.656969281928078 	| -3.0185246585463066
INFO:root:64 	| [106] 	| 0.7171295286154054 	| -0.8104064930929386 	| -0.5583085140645188
INFO:root:65 	| [105] 	| -2.092576234118316 	| -1.6960161968525445 	| -1.8165370634195865
INFO:root:66 	| [113] 	| -1.5784531111370783 	| -1.5747431619286238 	| -1.6458372323090549
INFO:root:67 	| [102] 	| -1.8241225407759216 	| -1.7971805378949344 	| -1.8384411832540413
INFO:root:68 	| [106] 	| -2.1746097592360547 	| -1.7194111656992999 	| -1.7635737024764615
INFO:root:69 	| [101] 	| -1.610611264560379 	| -1.8075920770416207 	| -1.8143555525744697
INFO:root:70 	| [104] 	| -2.574414830890522 	| -1.9927293614025336 	| -2.159998103339819
INFO:root:71 	| [105] 	| -2.397417789608756 	| -1.833602055846847 	| -1.8490451922616626
INFO:root:72 	| [113] 	| -0.6650792019685974 	| -1.5383561287624288 	| -1.2998352244606126
INFO:root:73 	| [104] 	| -1.5734940528602805 	| -1.6541921933574588 	| -1.6081677633474931
INFO:root:74 	| [101] 	| -1.1472016475197033 	| -1.5174931431974972 	| -1.5285043135440133
INFO:root:75 	| [102] 	| -2.0871015426569794 	| -1.8733836385450056 	| -1.831876257603762
INFO:root:76 	| [105] 	| -1.4457178524885435 	| -1.8412612966135595 	| -1.8743692866566748
INFO:root:77 	| [106] 	| -2.7703750829875866 	| -1.8646801800087835 	| -2.05041573766064
INFO:root:78 	| [104] 	| -2.623035615456889 	| -1.165100514419001 	| -1.3599261645321892
