,v,UC_mean,UC_cov,EWS_mean,TWS_mean
0,0,0.00390625,3.814697265625e-06,0.6896359540799187,0.7114488012328026
1,1,0.00390625,7.62939453125e-06,0.6909034933026587,0.715242429795339
2,2,0.00390625,1.52587890625e-05,0.692367901649511,0.7209299811316628
3,3,0.00390625,3.0517578125e-05,0.6938497266542929,0.7235452479986436
4,4,0.00390625,6.103515625e-05,0.6950237387395092,0.7292997851936386
5,5,0.00390625,0.0001220703125,0.6956351055672892,0.73478227662652
6,6,0.00390625,0.000244140625,0.6953187901539438,0.7393835471499849
7,7,0.00390625,0.00048828125,0.6937206572272192,0.7394133163676134
8,8,0.00390625,0.0009765625,0.6909861215003146,0.7293568834184814
9,9,0.00390625,0.001953125,0.6879814236849984,0.7214440380708059
10,10,0.00390625,0.00390625,0.6858393362739705,0.7170571714907364
11,11,0.00390625,0.0078125,0.6849287122917481,0.7132345855450213
12,12,0.00390625,0.015625,0.6841822181936041,0.7108103343569007
13,13,0.00390625,0.03125,0.6831911045696027,0.7081293576332901
14,14,0.00390625,0.0625,0.6823741085859972,0.707447851112553
15,15,0.00390625,0.125,0.6804621624660624,0.7033328849506497
16,16,0.00390625,0.25,0.6777790085518441,0.6955886430046243
17,17,0.00390625,0.5,0.674314027923314,0.6856968291450478
18,18,0.00390625,1.0,0.6614160110260748,0.6621525357927572
19,19,0.0078125,3.814697265625e-06,0.6869683328599114,0.7046565786460588
20,20,0.0078125,7.62939453125e-06,0.6883578662877963,0.7076194172902883
21,21,0.0078125,1.52587890625e-05,0.690088552144679,0.7120211209542101
22,22,0.0078125,3.0517578125e-05,0.691970921708723,0.7182716343174501
23,23,0.0078125,6.103515625e-05,0.6936134895187165,0.7222473099551092
24,24,0.0078125,0.0001220703125,0.6946804483084364,0.7262253750560543
25,25,0.0078125,0.000244140625,0.6948950968147227,0.731587664517987
26,26,0.0078125,0.00048828125,0.6939690899595443,0.7347064842553914
27,27,0.0078125,0.0009765625,0.6919817995428074,0.7301417791462944
28,28,0.0078125,0.001953125,0.6897556823600131,0.7265002729553747
29,29,0.0078125,0.00390625,0.6885737256255847,0.724000859894605
30,30,0.0078125,0.0078125,0.6887756898490224,0.7255571656321106
31,31,0.0078125,0.015625,0.6893370726621924,0.7252599587100281
32,32,0.0078125,0.03125,0.6893902202175417,0.7234388408423602
33,33,0.0078125,0.0625,0.6888657417145027,0.722751418151092
34,34,0.0078125,0.125,0.6868746511477516,0.7220978408693329
35,35,0.0078125,0.25,0.6839499398758893,0.7151625960111557
36,36,0.0078125,0.5,0.6803618484032564,0.7037408596018051
37,37,0.0078125,1.0,0.6671708385596856,0.6788266464360128
38,38,0.015625,3.814697265625e-06,0.6799037413800475,0.6915758348202018
39,39,0.015625,7.62939453125e-06,0.6810834285396717,0.6940569105838406
40,40,0.015625,1.52587890625e-05,0.6826047695827047,0.6971613533756811
41,41,0.015625,3.0517578125e-05,0.6844676365070055,0.7037150410216013
42,42,0.015625,6.103515625e-05,0.686443581731258,0.7091684082316941
43,43,0.015625,0.0001220703125,0.688152938537215,0.7161989002530642
44,44,0.015625,0.000244140625,0.6891281283148638,0.7187275123844157
45,45,0.015625,0.00048828125,0.6890039485970775,0.7218184872691571
46,46,0.015625,0.0009765625,0.6877963112825416,0.722512517675975
47,47,0.015625,0.001953125,0.6863901761019546,0.7188289792107774
48,48,0.015625,0.00390625,0.6860195750974805,0.7148708013366102
49,49,0.015625,0.0078125,0.6871021074230236,0.7159769935787761
50,50,0.015625,0.015625,0.6887253641090088,0.7205778182081446
51,51,0.015625,0.03125,0.6898756258419442,0.7267473867451728
52,52,0.015625,0.0625,0.6902230495302294,0.726944935611933
53,53,0.015625,0.125,0.6890398498415733,0.7241809282591093
54,54,0.015625,0.25,0.6852519744750472,0.7183372088283372
55,55,0.015625,0.5,0.6809740892855944,0.7069767561088951
56,56,0.015625,1.0,0.6672129037885058,0.6812185183663485
57,57,0.03125,3.814697265625e-06,0.6711473206745439,0.6745856607717087
58,58,0.03125,7.62939453125e-06,0.6721713032995144,0.6767158871312584
59,59,0.03125,1.52587890625e-05,0.6734372921456929,0.680145982853758
60,60,0.03125,3.0517578125e-05,0.6748865545925988,0.684864368196939
61,61,0.03125,6.103515625e-05,0.6764408250963502,0.6896695110142999
62,62,0.03125,0.0001220703125,0.6778825488196122,0.6929246171503215
63,63,0.03125,0.000244140625,0.67895668220306,0.6975712060808341
64,64,0.03125,0.00048828125,0.6793545901182897,0.701448162024666
65,65,0.03125,0.0009765625,0.6789677898363796,0.6979352987280402
66,66,0.03125,0.001953125,0.6784792485870408,0.6970366926971994
67,67,0.03125,0.00390625,0.6789153679152548,0.69727444240379
68,68,0.03125,0.0078125,0.6806704940349037,0.6997017069171775
69,69,0.03125,0.015625,0.68300223604198,0.7043219475659646
70,70,0.03125,0.03125,0.6850290915124599,0.7082839209032503
71,71,0.03125,0.0625,0.6863475344929769,0.7127446509109922
72,72,0.03125,0.125,0.6864976541204728,0.7139684183459879
73,73,0.03125,0.25,0.6828640338046802,0.7093088727268941
74,74,0.03125,0.5,0.6775981298845654,0.7002873672035282
75,75,0.03125,1.0,0.6631604721250325,0.6702355397287809
