,v,UC_mean,UC_cov,EWS_mean,TWS_mean
0,0,0.00390625,3.814697265625e-06,0.7469470241484857,0.7832124192358921
1,1,0.00390625,7.62939453125e-06,0.747938894596974,0.7855510104286499
2,2,0.00390625,1.52587890625e-05,0.74911375166004,0.7903202785833348
3,3,0.00390625,3.0517578125e-05,0.7500082330981247,0.7926784495803348
4,4,0.00390625,6.103515625e-05,0.7500303634152041,0.7927171862498926
5,5,0.00390625,0.0001220703125,0.7486962019008538,0.7927521194879508
6,6,0.00390625,0.000244140625,0.7459577817820746,0.7909554421753044
7,7,0.00390625,0.00048828125,0.7421461251031429,0.7873723335449883
8,8,0.00390625,0.0009765625,0.7378843792671654,0.7830882846064853
9,9,0.00390625,0.001953125,0.7338580334709498,0.7766641379531135
10,10,0.00390625,0.00390625,0.7310380870567508,0.7689499932615982
11,11,0.00390625,0.0078125,0.7301158223765777,0.7681554521776196
12,12,0.00390625,0.015625,0.7308168880011268,0.7677747153749656
13,13,0.00390625,0.03125,0.7323742279013109,0.767702006748293
14,14,0.00390625,0.0625,0.7334988086777278,0.7721939253668657
15,15,0.00390625,0.125,0.7338958943851113,0.7708162677349188
16,16,0.00390625,0.25,0.7329946968331819,0.7692450687133523
17,17,0.00390625,0.5,0.7294331531544478,0.7631154013379364
18,18,0.00390625,1.0,0.712989077655872,0.7387599564353204
19,19,0.0078125,3.814697265625e-06,0.7452320169659039,0.7773941146077226
20,20,0.0078125,7.62939453125e-06,0.746193437891524,0.782430027944536
21,21,0.0078125,1.52587890625e-05,0.7474379517970877,0.7855111337600169
22,22,0.0078125,3.0517578125e-05,0.7486878167045635,0.7875626591454884
23,23,0.0078125,6.103515625e-05,0.7494134440163064,0.7926238007997671
24,24,0.0078125,0.0001220703125,0.7490512502069935,0.7930363424044045
25,25,0.0078125,0.000244140625,0.7472153005088952,0.7925178455091115
26,26,0.0078125,0.00048828125,0.7439993670213425,0.7874882921672163
27,27,0.0078125,0.0009765625,0.740039464414294,0.78307734459285
28,28,0.0078125,0.001953125,0.7361463246515848,0.77884207688234
29,29,0.0078125,0.00390625,0.7335449333466236,0.7741705959692533
30,30,0.0078125,0.0078125,0.7331456764536208,0.7708349147298953
31,31,0.0078125,0.015625,0.7344872166485843,0.7728285990366924
32,32,0.0078125,0.03125,0.7367204922931794,0.7774431188442268
33,33,0.0078125,0.0625,0.738251890350756,0.7808937628160905
34,34,0.0078125,0.125,0.7384438073044775,0.781271128233897
35,35,0.0078125,0.25,0.737010644446172,0.7781991405115847
36,36,0.0078125,0.5,0.7334861186263169,0.7756957501510062
37,37,0.0078125,1.0,0.7179286857344019,0.743286690801647
38,38,0.015625,3.814697265625e-06,0.7408044765436925,0.7761899596431933
39,39,0.015625,7.62939453125e-06,0.7415838504183017,0.7783266138840141
40,40,0.015625,1.52587890625e-05,0.7426603363907207,0.7821091892765774
41,41,0.015625,3.0517578125e-05,0.7438580480100561,0.7852761793875012
42,42,0.015625,6.103515625e-05,0.7448096042547677,0.7902926931987032
43,43,0.015625,0.0001220703125,0.7449249059570431,0.7924205630707519
44,44,0.015625,0.000244140625,0.7438388271521706,0.7906569123936986
45,45,0.015625,0.00048828125,0.7414538979230741,0.7863168194254199
46,46,0.015625,0.0009765625,0.7381549596038969,0.7782879348655071
47,47,0.015625,0.001953125,0.7347328468846623,0.7735122240797705
48,48,0.015625,0.00390625,0.7323768808287925,0.7716659035413382
49,49,0.015625,0.0078125,0.732258577668299,0.7704415744519776
50,50,0.015625,0.015625,0.7340070027213924,0.7701116695561604
51,51,0.015625,0.03125,0.7368264141546585,0.7782863387676364
52,52,0.015625,0.0625,0.7391324857692396,0.7815073450931959
53,53,0.015625,0.125,0.7392840587969074,0.7824451139068037
54,54,0.015625,0.25,0.737013037740289,0.7786248298086397
55,55,0.015625,0.5,0.7335553981744771,0.776786365916476
56,56,0.015625,1.0,0.7183452323586783,0.7475550248586262
57,57,0.03125,3.814697265625e-06,0.7335843270661772,0.769988628696226
58,58,0.03125,7.62939453125e-06,0.7341790678241896,0.7715661493622884
59,59,0.03125,1.52587890625e-05,0.73506386338189,0.7734805441314625
60,60,0.03125,3.0517578125e-05,0.7361788250088324,0.7760400323643838
61,61,0.03125,6.103515625e-05,0.7372565280237552,0.7792355990299259
62,62,0.03125,0.0001220703125,0.7377938711616825,0.7777838652850934
63,63,0.03125,0.000244140625,0.7372731410470227,0.7793960259435162
64,64,0.03125,0.00048828125,0.7354483029550449,0.7765999904632286
65,65,0.03125,0.0009765625,0.7326757431340676,0.7708626169291175
66,66,0.03125,0.001953125,0.7296153441501501,0.7642069608571855
67,67,0.03125,0.00390625,0.7275930871736666,0.764688994636036
68,68,0.03125,0.0078125,0.7277526900534258,0.7640099379821819
69,69,0.03125,0.015625,0.7298916851747942,0.7651905206134807
70,70,0.03125,0.03125,0.7331091888738743,0.7714665530473372
71,71,0.03125,0.0625,0.7361672967526746,0.7737159862974254
72,72,0.03125,0.125,0.7370143969496106,0.7794166492611826
73,73,0.03125,0.25,0.7347345912864794,0.7739919618709312
74,74,0.03125,0.5,0.731359785613094,0.7677746548438391
75,75,0.03125,1.0,0.7157487579424574,0.743067929907145
