,v,UC_mean,UC_cov,EWS_mean,TWS_mean
0,0,6.103515625e-05,6.103515625e-05,0.5600395538077241,0.3758229887396554
1,1,6.103515625e-05,0.0001220703125,0.5590974431275151,0.37925654592321256
2,2,6.103515625e-05,0.000244140625,0.5577545632836481,0.37761582553249223
3,3,6.103515625e-05,0.00048828125,0.556060838490237,0.3629707638040971
4,4,6.103515625e-05,0.0009765625,0.554136796011425,0.3582763532763532
5,5,6.103515625e-05,0.001953125,0.5519671884183254,0.3504695767195767
6,6,6.103515625e-05,0.00390625,0.5493534384993954,0.34368216659883327
7,7,6.103515625e-05,0.0078125,0.547848732781133,0.3285751594084927
8,8,6.103515625e-05,0.015625,0.5482085323219301,0.3214423076923077
9,9,6.103515625e-05,0.03125,0.5495719493068622,0.3253517161850495
10,10,6.103515625e-05,0.0625,0.551925020211472,0.3389658797992132
11,11,6.103515625e-05,0.125,0.5526737546105184,0.3376695835029169
12,12,6.103515625e-05,0.25,0.5518736303521119,0.3315428707095374
13,13,6.103515625e-05,0.5,0.5492263068028708,0.32653422195088866
14,14,6.103515625e-05,1.0,0.5447929034798425,0.2980543684710352
15,15,0.0001220703125,6.103515625e-05,0.5653739251748787,0.3980845543345543
16,16,0.0001220703125,0.0001220703125,0.5641696678581977,0.39895400895400895
17,17,0.0001220703125,0.000244140625,0.562416421796679,0.3982568511735179
18,18,0.0001220703125,0.00048828125,0.5603067653652033,0.3886565594898928
19,19,0.0001220703125,0.0009765625,0.5579136494378597,0.3744403744403745
20,20,0.0001220703125,0.001953125,0.5553095302091913,0.3676787410120744
21,21,0.0001220703125,0.00390625,0.5523136083694418,0.3531779948446615
22,22,0.0001220703125,0.0078125,0.5505298337905561,0.33762566137566136
23,23,0.0001220703125,0.015625,0.5507933984526624,0.33153201736535076
24,24,0.0001220703125,0.03125,0.5523386152675444,0.3337769637769638
25,25,0.0001220703125,0.0625,0.554833921844107,0.3477865961199295
26,26,0.0001220703125,0.125,0.5555237196688904,0.35258903133903136
27,27,0.0001220703125,0.25,0.5546756160107507,0.339616910866911
28,28,0.0001220703125,0.5,0.551982191716543,0.334433251933252
29,29,0.0001220703125,1.0,0.5473259077289682,0.31170533170533177
30,30,0.000244140625,6.103515625e-05,0.5753997212874346,0.4284615384615385
31,31,0.000244140625,0.0001220703125,0.573680726998722,0.42322446072446074
32,32,0.000244140625,0.000244140625,0.5712942205714129,0.4190326956993624
33,33,0.000244140625,0.00048828125,0.5683920248677051,0.41174433591100257
34,34,0.000244140625,0.0009765625,0.5652126325172571,0.40133835300501974
35,35,0.000244140625,0.001953125,0.5618074722114668,0.39042480667480667
36,36,0.000244140625,0.00390625,0.558178569614815,0.38021604938271614
37,37,0.000244140625,0.0078125,0.5558109008671992,0.357000407000407
38,38,0.000244140625,0.015625,0.5559179115769971,0.35060914394247733
39,39,0.000244140625,0.03125,0.5577973815157219,0.36082163207163215
40,40,0.000244140625,0.0625,0.5606245617060137,0.3742682471849139
41,41,0.000244140625,0.125,0.5612710290022925,0.37283306199972877
42,42,0.000244140625,0.25,0.5603847210799745,0.3669342694342695
43,43,0.000244140625,0.5,0.5575924237476021,0.35523622981956315
44,44,0.000244140625,1.0,0.552452254926439,0.32700668159001495
45,45,0.00048828125,6.103515625e-05,0.5921093768950102,0.47872066205399544
46,46,0.00048828125,0.0001220703125,0.5897993655301246,0.4742239858906526
47,47,0.00048828125,0.000244140625,0.5865821899706763,0.46742707909374576
48,48,0.00048828125,0.00048828125,0.5826577382148167,0.45899386107719437
49,49,0.00048828125,0.0009765625,0.5783092638946079,0.436971916971917
50,50,0.00048828125,0.001953125,0.573703791384526,0.4293694885361552
51,51,0.00048828125,0.00390625,0.5690356119937984,0.41142161850495196
52,52,0.00048828125,0.0078125,0.5658726868945555,0.4016664970831638
53,53,0.00048828125,0.015625,0.5658243741526424,0.38951312576312586
54,54,0.00048828125,0.03125,0.5683067005210192,0.4080119725953059
55,55,0.00048828125,0.0625,0.5717079866759445,0.4155845543345543
56,56,0.00048828125,0.125,0.5726563971319987,0.4121654117487451
57,57,0.00048828125,0.25,0.5716832585824808,0.40592846967846974
58,58,0.00048828125,0.5,0.5687230453997709,0.3981708723375391
59,59,0.00048828125,1.0,0.5627448455278186,0.3714818206484874
60,60,0.0009765625,6.103515625e-05,0.6133180321057365,0.5188980463980465
61,61,0.0009765625,0.0001220703125,0.6107291939542511,0.5212874779541445
62,62,0.0009765625,0.000244140625,0.6070222484478994,0.5143448989282322
63,63,0.0009765625,0.00048828125,0.6023932550227309,0.5095380545380546
64,64,0.0009765625,0.0009765625,0.5972259509391622,0.49587284628951295
65,65,0.0009765625,0.001953125,0.5917304450255266,0.48014668973002306
66,66,0.0009765625,0.00390625,0.5863704843419495,0.4628242436575771
67,67,0.0009765625,0.0078125,0.5827093722161785,0.44517026183692854
68,68,0.0009765625,0.015625,0.5826883377610216,0.44093491385158057
69,69,0.0009765625,0.03125,0.5859977936221659,0.44912003120336463
70,70,0.0009765625,0.0625,0.5902028456286417,0.4642458621625289
