,v,UC_mean,UC_cov,EWS_mean,TWS_mean
0,0,0.00390625,3.814697265625e-06,0.697288004562078,0.7237065135988369
1,1,0.00390625,7.62939453125e-06,0.6986941756847842,0.7279896426210553
2,2,0.00390625,1.52587890625e-05,0.7003053540758168,0.734211985123421
3,3,0.00390625,3.0517578125e-05,0.7019133219416669,0.7364401120372691
4,4,0.00390625,6.103515625e-05,0.7031530515598773,0.7427799671171996
5,5,0.00390625,0.0001220703125,0.7037795960583549,0.7484806384706881
6,6,0.00390625,0.000244140625,0.7034322941845061,0.7528853538090022
7,7,0.00390625,0.00048828125,0.701784170102116,0.7524589207381319
8,8,0.00390625,0.0009765625,0.6990393010635614,0.7427302653651395
9,9,0.00390625,0.001953125,0.6961703438993166,0.7356450178638794
10,10,0.00390625,0.00390625,0.6944008521134676,0.7333007615550892
11,11,0.00390625,0.0078125,0.694004413509141,0.7317241578065461
12,12,0.00390625,0.015625,0.6936309183179578,0.7313794862307249
13,13,0.00390625,0.03125,0.6928211911582615,0.7305339352453213
14,14,0.00390625,0.0625,0.6920482950557154,0.73038106519332
15,15,0.00390625,0.125,0.6900205231289938,0.7265181190999609
16,16,0.00390625,0.25,0.6872207437210541,0.7192014476774892
17,17,0.00390625,0.5,0.6838098122739913,0.7097658582076168
18,18,0.00390625,1.0,0.67090942680318,0.6900266790576223
19,19,0.0078125,3.814697265625e-06,0.6949228863810264,0.7187498229772608
20,20,0.0078125,7.62939453125e-06,0.696459976973633,0.7219456204907576
21,21,0.0078125,1.52587890625e-05,0.6983589521909593,0.7274486533866175
22,22,0.0078125,3.0517578125e-05,0.7003902908484028,0.7343499413022742
23,23,0.0078125,6.103515625e-05,0.7021173662784674,0.7381860194311873
24,24,0.0078125,0.0001220703125,0.7031814756740897,0.74175057367205
25,25,0.0078125,0.000244140625,0.703347439081558,0.7477374963603857
26,26,0.0078125,0.00048828125,0.7023662079221831,0.7494438792531015
27,27,0.0078125,0.0009765625,0.7003886462254462,0.7436457304536259
28,28,0.0078125,0.001953125,0.6983304735537651,0.7407289833384747
29,29,0.0078125,0.00390625,0.6975401964309925,0.7407227378656354
30,30,0.0078125,0.0078125,0.6982125479220102,0.7435045281650644
31,31,0.0078125,0.015625,0.6991266003156877,0.7452013388000184
32,32,0.0078125,0.03125,0.6993861061542388,0.7451641742111461
33,33,0.0078125,0.0625,0.6989082760819021,0.7452198951396569
34,34,0.0078125,0.125,0.6967699225188176,0.7438105183803472
35,35,0.0078125,0.25,0.693662395867305,0.7370712800515503
36,36,0.0078125,0.5,0.6900135236935249,0.725932129528362
37,37,0.0078125,1.0,0.6765713759568637,0.7040175375395539
38,38,0.015625,3.814697265625e-06,0.6885424796010284,0.7081623344576465
39,39,0.015625,7.62939453125e-06,0.6898435712891554,0.7109635490294968
40,40,0.015625,1.52587890625e-05,0.6915058762871393,0.7142236798469279
41,41,0.015625,3.0517578125e-05,0.6935131819001097,0.7213141152743162
42,42,0.015625,6.103515625e-05,0.6955953651530119,0.7271266581748946
43,43,0.015625,0.0001220703125,0.6973349304157054,0.7344890596059443
44,44,0.015625,0.000244140625,0.6982599557764962,0.7359632377510753
45,45,0.015625,0.00048828125,0.6980398486377958,0.738754519798699
46,46,0.015625,0.0009765625,0.6968073816884249,0.7389081528171423
47,47,0.015625,0.001953125,0.6955693320922753,0.7362421718932094
48,48,0.015625,0.00390625,0.6956021507975889,0.7350165847522863
49,49,0.015625,0.0078125,0.6971691409925616,0.7375205239109988
50,50,0.015625,0.015625,0.6991441004529307,0.7423497601234992
51,51,0.015625,0.03125,0.7005030395207817,0.7479412814295917
52,52,0.015625,0.0625,0.7009292858500772,0.7481833801212059
53,53,0.015625,0.125,0.6996443220594867,0.7458247952629202
54,54,0.015625,0.25,0.6955193844344666,0.7406172399233083
55,55,0.015625,0.5,0.6910386334978414,0.7298394439837982
56,56,0.015625,1.0,0.6768362810918411,0.7073548617765835
57,57,0.03125,3.814697265625e-06,0.6809922154016509,0.6958111186115988
58,58,0.03125,7.62939453125e-06,0.6821251473964925,0.6985362333698205
59,59,0.03125,1.52587890625e-05,0.6835064095173838,0.7025369302812959
60,60,0.03125,3.0517578125e-05,0.685059085099426,0.7072644245752071
61,61,0.03125,6.103515625e-05,0.6866720478580642,0.7125125078209561
62,62,0.03125,0.0001220703125,0.6881033476002666,0.7160973481898518
63,63,0.03125,0.000244140625,0.689084692129507,0.720319040875604
64,64,0.03125,0.00048828125,0.689347283150918,0.7245770287545313
65,65,0.03125,0.0009765625,0.6888968378724397,0.7200159085475009
66,66,0.03125,0.001953125,0.6885328963710244,0.7199765590139806
67,67,0.03125,0.00390625,0.6893672912067997,0.7211034807100999
68,68,0.03125,0.0078125,0.6916211103750974,0.7250357642897041
69,69,0.03125,0.015625,0.6943405183067157,0.729959415851476
70,70,0.03125,0.03125,0.6965916924280908,0.7339766250872137
71,71,0.03125,0.0625,0.6980131779543967,0.7384472121335774
72,72,0.03125,0.125,0.698139641391843,0.7405871505066843
73,73,0.03125,0.25,0.694148404460869,0.736564317869488
74,74,0.03125,0.5,0.6884979245175274,0.7281104509288006
75,75,0.03125,1.0,0.6734557506657377,0.6980906031045637
76,76,0.0625,3.814697265625e-06,0.6708679456778849,0.673851710426009
77,77,0.0625,7.62939453125e-06,0.6718282243838334,0.674655212830555
78,78,0.0625,1.52587890625e-05,0.6730131266840758,0.6799496197840552
79,79,0.0625,3.0517578125e-05,0.6743733407163243,0.6831776292752131
80,80,0.0625,6.103515625e-05,0.6757173246853563,0.688902919532799
81,81,0.0625,0.0001220703125,0.6768459435648034,0.69296683210791
82,82,0.0625,0.000244140625,0.677569143350425,0.6938707806976042
83,83,0.0625,0.00048828125,0.677704720076761,0.6964041124813071
84,84,0.0625,0.0009765625,0.6773623496644239,0.6959831718939083
85,85,0.0625,0.001953125,0.6773239979133902,0.6939311641792621
86,86,0.0625,0.00390625,0.678622819755467,0.6946893608383372
87,87,0.0625,0.0078125,0.681399148024286,0.6989519973209629
88,88,0.0625,0.015625,0.6846537691961978,0.704463032861559
