INFO:root:New log file
INFO:root:Trained all three classifiers on the calibration data.
INFO:root:Online simulation starts
INFO:root:Number of online trials: 10, which is 1.6666666666666667 runs
INFO:root:------------------ Run 1 Trial 2  (total trials: 1/10) ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:0 	| [105] 	| -2.447312612070196 	| -2.086249742361224 	| -2.094277888342314
INFO:root:1 	| [104] 	| -3.0144467353970055 	| -1.5754211973595071 	| -1.5203538306455822
INFO:root:2 	| [102] 	| -1.4257509491931188 	| -1.3652717562088577 	| -1.2765472815564263
INFO:root:3 	| [116] 	| -0.9494068037358389 	| -1.7403597605379553 	| -1.6996176005872068
INFO:root:4 	| [101] 	| -3.0124944803642455 	| -1.912697179249951 	| -2.024941051909388
INFO:root:5 	| [103] 	| -0.6861764105389376 	| -1.2358902322953296 	| -1.2289495346593013
INFO:root:6 	| [116] 	| -1.9705458279060108 	| -1.7846149675165752 	| -1.76410363739973
INFO:root:7 	| [101] 	| -1.078868590591203 	| -1.303598567955233 	| -1.1976188519842588
INFO:root:8 	| [103] 	| -0.33547895201483824 	| -1.9068313053904231 	| -2.0433905311893144
INFO:root:9 	| [102] 	| -3.169094585463093 	| -1.89280447612814 	| -1.945884291987551
INFO:root:10 	| [104] 	| -2.7325251029114153 	| -2.391896884662509 	| -2.482632803954761
INFO:root:11 	| [105] 	| -1.5097631946842713 	| -1.0582248860832575 	| -0.9200038162644282
INFO:root:12 	| [102] 	| -1.8771492254324706 	| -1.7108909916843067 	| -1.6816902971603251
INFO:root:13 	| [116] 	| -2.343836530655323 	| -1.5915312024144967 	| -1.515570883634075
INFO:root:14 	| [101] 	| 0.23884093203407986 	| -0.9654269845760837 	| -0.8150344973540746
INFO:root:15 	| [103] 	| -1.271770739908988 	| -1.760127243294584 	| -2.0089388893673292
INFO:root:16 	| [104] 	| -3.2637553681926237 	| -1.473079158738431 	| -1.5168432620568424
INFO:root:17 	| [105] 	| 0.5639058321527166 	| -1.1981401774648146 	| -1.0230105332099328
INFO:root:18 	| [116] 	| -1.7780071959726538 	| -2.3129390728072687 	| -2.4273589180969464
INFO:root:19 	| [104] 	| -2.2473715383358406 	| -1.9352213225019366 	| -2.1533909264856304
INFO:root:20 	| [101] 	| -1.4809923068200477 	| -1.4110947131963472 	| -1.4087028459158264
INFO:root:21 	| [105] 	| -4.221627602672266 	| -2.1173331473738353 	| -2.1992281478593148
INFO:root:22 	| [103] 	| -4.180076108480041 	| -1.8784383166650485 	| -2.0409753366807983
INFO:root:23 	| [102] 	| -0.8472441709221645 	| -1.3238296502607536 	| -1.3616397269891196
INFO:root:24 	| [101] 	| -3.2420864183061107 	| -1.8579190225609432 	| -1.97077290544556
INFO:root:25 	| [104] 	| -3.0008544234447276 	| -1.913365341744637 	| -2.243932699307103
